sku_id,category,supplier_country,lead_time_days,unit_cost_usd,holding_cost_pct,stockout_cost_usd,reorder_quantity,disruption_sensitivity
SKU-0377,Metals,India,40,69.85,0.0204,228.14,182,High
SKU-0378,Metals,Germany,17,161.21,0.0213,381.91,301,Medium
SKU-0379,Metals,China,53,217.58,0.0408,715.79,352,High
SKU-0380,Metals,China,57,104.33,0.0437,348.38,409,High
SKU-0381,Pharmaceuticals,Taiwan,17,507.54,0.0311,1930.29,367,Medium
SKU-0382,Pharmaceuticals,South Korea,25,362.19,0.025,1192.18,114,Low
SKU-0383,Pharmaceuticals,Mexico,10,117.81,0.0394,460.72,203,Low
SKU-0384,Pharmaceuticals,China,40,386.74,0.0293,1559.09,322,Medium
SKU-0385,Pharmaceuticals,Germany,30,198.39,0.0346,413.17,277,Low
SKU-0386,Pharmaceuticals,Brazil,30,368.94,0.0212,772.14,224,Low
SKU-0387,Pharmaceuticals,China,26,730.06,0.0235,3553.75,191,Medium
SKU-0388,Pharmaceuticals,Vietnam,38,522.06,0.0448,2585.26,179,Medium
SKU-0389,Pharmaceuticals,Brazil,19,338.27,0.0362,832.97,299,Low
SKU-0390,Pharmaceuticals,Japan,17,633.33,0.045,2103.49,186,Low
SKU-0391,Pharmaceuticals,China,32,776.49,0.0367,2361.95,311,Medium
SKU-0392,Pharmaceuticals,China,36,410.83,0.0388,1424.22,230,Medium
SKU-0393,Pharmaceuticals,Turkey,26,498.56,0.0386,1298.22,227,Low
SKU-0394,Pharmaceuticals,China,53,432.88,0.0363,1161.52,483,Medium
SKU-0395,Pharmaceuticals,Mexico,15,708.98,0.0239,3099.33,106,Low
SKU-0396,Pharmaceuticals,India,61,293.04,0.0463,1416.01,116,Medium
SKU-0397,Pharmaceuticals,Germany,20,704.48,0.0377,2202.2,178,Low
SKU-0398,Pharmaceuticals,China,48,633.26,0.0316,2237.83,271,Medium
SKU-0399,Pharmaceuticals,Japan,36,635.17,0.0372,3092.1,140,Low
SKU-0400,Pharmaceuticals,China,41,697.77,0.0332,3168.51,451,Medium
SKU-0401,Pharmaceuticals,China,43,457.3,0.0388,2185.5,58,Medium
SKU-0402,Pharmaceuticals,Germany,26,581.41,0.0417,2370.76,110,Low
SKU-0403,Pharmaceuticals,China,56,295.13,0.0263,1437.97,53,Medium
SKU-0404,Pharmaceuticals,Turkey,21,573.77,0.0449,1654.67,56,Low
SKU-0405,Pharmaceuticals,India,46,200.0,0.0426,861.35,346,Medium
SKU-0406,Pharmaceuticals,India,48,692.15,0.0384,1568.28,269,Medium
SKU-0407,Pharmaceuticals,China,28,146.21,0.0305,341.11,413,Medium
SKU-0408,Pharmaceuticals,Thailand,23,150.62,0.0487,537.37,184,Medium
SKU-0409,Pharmaceuticals,China,59,594.96,0.0215,1320.04,231,Medium
SKU-0410,Pharmaceuticals,China,45,262.67,0.0284,1158.49,468,Medium
SKU-0411,Pharmaceuticals,Germany,19,433.51,0.0268,1699.98,490,Low
SKU-0412,Pharmaceuticals,Japan,32,350.47,0.0394,830.18,449,Low
SKU-0413,Pharmaceuticals,Japan,43,537.35,0.0222,2175.11,158,Low
SKU-0414,Pharmaceuticals,South Korea,20,675.77,0.0441,2471.63,284,Low
SKU-0415,Pharmaceuticals,China,37,447.69,0.0285,1075.12,333,Medium
SKU-0416,Pharmaceuticals,China,53,624.05,0.0295,1248.35,280,Medium
SKU-0417,Pharmaceuticals,China,54,143.88,0.0452,289.41,161,Medium
SKU-0418,Pharmaceuticals,India,27,321.39,0.0231,990.11,171,Medium
SKU-0419,Pharmaceuticals,Taiwan,40,724.31,0.033,3425.86,219,Medium
SKU-0420,Pharmaceuticals,Brazil,28,162.5,0.0406,565.73,224,Low
SKU-0421,Pharmaceuticals,South Korea,33,566.47,0.049,2426.26,477,Low
SKU-0422,Pharmaceuticals,South Korea,24,308.64,0.0232,1341.19,339,Low
SKU-0423,Pharmaceuticals,China,49,450.28,0.033,1518.84,143,Medium
SKU-0424,Pharmaceuticals,Germany,20,358.87,0.0216,1544.11,237,Low
SKU-0425,Pharmaceuticals,Taiwan,28,560.15,0.0342,2599.36,147,Medium
SKU-0426,Pharmaceuticals,South Korea,33,525.43,0.0289,1266.18,343,Low
SKU-0427,Pharmaceuticals,India,52,376.59,0.0414,978.25,450,Medium
SKU-0428,Pharmaceuticals,China,31,357.45,0.0217,834.48,282,Medium
SKU-0429,Pharmaceuticals,China,29,113.53,0.0237,367.94,271,Medium
SKU-0430,Pharmaceuticals,Germany,15,471.66,0.0379,957.36,258,Low
SKU-0431,Pharmaceuticals,Brazil,55,318.3,0.0432,1374.66,284,Low
SKU-0432,Pharmaceuticals,Brazil,37,187.89,0.0205,809.9,413,Low
SKU-0433,Pharmaceuticals,China,54,462.57,0.0304,1441.01,50,Medium
SKU-0434,Pharmaceuticals,China,37,552.52,0.0492,2509.09,60,Medium
SKU-0435,Pharmaceuticals,Mexico,16,420.6,0.0319,1223.42,79,Low
SKU-0436,Pharmaceuticals,China,51,272.62,0.0345,1156.54,263,Medium
SKU-0437,Pharmaceuticals,China,50,152.92,0.031,409.24,138,Medium
SKU-0438,Pharmaceuticals,China,45,535.69,0.0434,2000.75,116,Medium
SKU-0439,Pharmaceuticals,Taiwan,21,571.89,0.0278,1736.02,462,Medium
SKU-0440,Pharmaceuticals,China,60,428.99,0.0467,1768.8,77,Medium
SKU-0441,Pharmaceuticals,China,34,770.55,0.0359,2100.27,275,Medium
SKU-0442,Pharmaceuticals,South Korea,28,153.37,0.0282,678.03,256,Low
SKU-0443,Pharmaceuticals,Japan,24,216.02,0.0334,567.6,72,Low
SKU-0444,Pharmaceuticals,Taiwan,31,786.83,0.0438,3589.01,158,Medium
SKU-0445,Pharmaceuticals,Brazil,35,281.68,0.0331,1064.94,82,Low
SKU-0446,Pharmaceuticals,South Korea,32,786.82,0.0257,3444.53,458,Low
SKU-0447,Pharmaceuticals,Thailand,38,784.12,0.0427,1948.55,264,Medium
SKU-0448,Pharmaceuticals,South Korea,34,273.14,0.0392,1092.51,123,Low
SKU-0449,Pharmaceuticals,Japan,27,108.47,0.0203,333.12,466,Low
SKU-0450,Pharmaceuticals,China,60,544.05,0.0267,1613.11,431,Medium
SKU-0451,Textiles,India,38,12.63,0.0344,50.36,103,Medium
SKU-0452,Textiles,China,36,45.81,0.0476,228.12,70,Medium
SKU-0453,Textiles,India,23,77.88,0.0476,377.93,309,Medium
SKU-0454,Textiles,Germany,12,80.88,0.0275,298.63,211,Low
SKU-0455,Textiles,South Korea,25,92.64,0.0231,325.9,149,Low
SKU-0456,Textiles,China,39,13.24,0.0253,60.91,177,Medium
SKU-0457,Textiles,Brazil,19,62.21,0.0355,266.03,177,Low
SKU-0458,Textiles,Germany,30,90.47,0.0484,423.19,238,Low
SKU-0459,Textiles,India,35,28.42,0.0377,72.71,199,Medium
SKU-0460,Textiles,Vietnam,7,28.64,0.0221,63.21,473,Medium
SKU-0461,Textiles,Japan,36,85.22,0.03,347.77,397,Low
SKU-0462,Textiles,South Korea,27,23.64,0.0463,85.51,177,Low
SKU-0463,Textiles,Germany,24,14.92,0.0492,39.96,186,Low
SKU-0464,Textiles,China,19,30.74,0.02,128.74,485,Medium
SKU-0465,Textiles,China,57,86.36,0.0327,251.2,196,Medium
SKU-0466,Textiles,South Korea,35,83.51,0.0254,259.95,455,Low
SKU-0467,Textiles,Taiwan,43,69.49,0.0224,252.49,369,Medium
SKU-0468,Textiles,China,27,80.26,0.0375,389.8,69,Medium
SKU-0469,Textiles,China,29,74.3,0.0428,171.45,281,Medium
SKU-0470,Textiles,Japan,33,43.24,0.048,193.82,363,Low
SKU-0471,Textiles,South Korea,35,72.51,0.0419,332.46,173,Low
SKU-0472,Textiles,Taiwan,31,27.57,0.0304,82.9,490,Medium
SKU-0473,Textiles,Vietnam,52,60.59,0.0484,211.38,221,Medium
SKU-0474,Textiles,China,54,80.76,0.042,254.64,61,Medium
SKU-0475,Textiles,Taiwan,31,31.15,0.0411,138.66,295,Medium
SKU-0476,Textiles,Brazil,39,14.65,0.0351,60.88,438,Low
SKU-0477,Textiles,China,47,45.69,0.024,209.99,120,Medium
SKU-0478,Textiles,China,58,36.1,0.0461,145.05,408,Medium
SKU-0479,Textiles,China,56,84.95,0.0472,173.0,353,Medium
SKU-0480,Textiles,China,64,59.4,0.0286,173.47,208,Medium
SKU-0481,Textiles,South Korea,38,46.41,0.0221,201.94,178,Low
SKU-0482,Textiles,Germany,16,71.69,0.03,155.55,218,Low
SKU-0483,Textiles,Thailand,50,66.91,0.026,217.79,387,Medium
SKU-0484,Textiles,China,56,35.01,0.0283,115.39,491,Medium
SKU-0485,Textiles,China,31,97.36,0.0234,312.6,382,Medium
SKU-0486,Textiles,South Korea,30,48.05,0.0304,153.42,168,Low
SKU-0487,Textiles,China,27,35.87,0.0397,175.96,321,Medium
SKU-0488,Textiles,China,43,16.8,0.0485,48.58,91,Medium
SKU-0489,Textiles,Japan,38,34.07,0.0205,166.77,162,Low
SKU-0490,Textiles,South Korea,38,73.6,0.0383,216.29,171,Low
SKU-0491,Textiles,Japan,26,62.88,0.041,254.06,233,Low
SKU-0492,Textiles,China,47,62.46,0.0276,209.29,480,Medium
SKU-0493,Textiles,Germany,19,70.52,0.0493,162.6,53,Low
SKU-0494,Textiles,Germany,23,18.34,0.0425,87.0,245,Low
SKU-0495,Textiles,China,61,10.81,0.0377,41.51,336,Medium
SKU-0496,Textiles,China,40,74.26,0.0227,192.91,444,Medium
SKU-0497,Textiles,India,31,32.28,0.0219,109.0,379,Medium
SKU-0498,Textiles,Japan,21,70.56,0.0224,342.53,427,Low
SKU-0499,Textiles,Taiwan,20,65.51,0.0423,276.04,284,Medium
SKU-0500,Textiles,China,47,43.4,0.0476,162.9,292,Medium
